ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",115145,15114,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2019,"2019",0,"Total",101136,15104,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2019,"2019",0,"Total",102125,16320,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2019,"2019",0,"Total",83356,19510,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2018,"2018",0,"Total",113558,13087,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2018,"2018",0,"Total",97236,16883,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2018,"2018",0,"Total",101220,11863,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2018,"2018",0,"Total",68750,14425,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2017,"2017",0,"Total",109209,12327,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2017,"2017",0,"Total",99000,10880,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2017,"2017",0,"Total",101154,6295,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2017,"2017",0,"Total",64386,13675.999999999998,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2016,"2016",0,"Total",79663,23061,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2016,"2016",0,"Total",91549,6956,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2016,"2016",0,"Total",99153,9935,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2016,"2016",0,"Total",63980,9463,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2015,"2015",0,"Total",85019,18873,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2015,"2015",0,"Total",92049,4335,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2015,"2015",0,"Total",102559,6175,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2015,"2015",0,"Total",61982,15315.000000000002,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2014,"2014",0,"Total",85873,10016,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2014,"2014",0,"Total",94954,4782,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2014,"2014",0,"Total",104732,20124,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2014,"2014",0,"Total",70826,9118,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2013,"2013",0,"Total",83849,7380,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2013,"2013",0,"Total",90785,3658.0000000000005,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2013,"2013",0,"Total",113155,18768,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2013,"2013",0,"Total",72445,7166.999999999999,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
