ID Age,Age,ID Year,Year,ID Poverty Status,Poverty Status,Poverty Population,Poverty Population Moe,Geography,ID Geography,Slug Geography,share,Sex,ID Sex
0,"Under 5 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",74,71,"Sterling, VA","16000US5175376","sterling-va",0.048588312541037425,"Male",0
0,"Under 5 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",66,68,"Sterling, VA","16000US5175376","sterling-va",0.04333552199606041,"Female",1
1,"5 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",17,30.000000000000004,"Sterling, VA","16000US5175376","sterling-va",0.011162179908076166,"Male",0
1,"5 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",30,48,"Sterling, VA","16000US5175376","sterling-va",0.01969796454366382,"Female",1
2,"6 to 11 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",8,13,"Sterling, VA","16000US5175376","sterling-va",0.005252790544977019,"Male",0
2,"6 to 11 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",42,51,"Sterling, VA","16000US5175376","sterling-va",0.02757715036112935,"Female",1
3,"12 to 14 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",0,26,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
3,"12 to 14 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",10,15.000000000000002,"Sterling, VA","16000US5175376","sterling-va",0.006565988181221274,"Female",1
4,"15 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",0,26,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
4,"15 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",33,46,"Sterling, VA","16000US5175376","sterling-va",0.021667760998030205,"Female",1
5,"16 & 17 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",70,73,"Sterling, VA","16000US5175376","sterling-va",0.04596191726854892,"Male",0
5,"16 & 17 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",0,26,"Sterling, VA","16000US5175376","sterling-va",0,"Female",1
6,"18 to 24 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",119,94,"Sterling, VA","16000US5175376","sterling-va",0.07813525935653316,"Male",0
6,"18 to 24 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",203,120.00000000000001,"Sterling, VA","16000US5175376","sterling-va",0.13328956007879186,"Female",1
7,"25 to 34 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",112,85,"Sterling, VA","16000US5175376","sterling-va",0.07353906762967827,"Male",0
7,"25 to 34 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",36,31,"Sterling, VA","16000US5175376","sterling-va",0.023637557452396585,"Female",1
8,"35 to 44 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",0,26,"Sterling, VA","16000US5175376","sterling-va",0,"Male",0
8,"35 to 44 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",118,88,"Sterling, VA","16000US5175376","sterling-va",0.07747866053841103,"Female",1
9,"45 to 54 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",76,53,"Sterling, VA","16000US5175376","sterling-va",0.04990151017728168,"Male",0
9,"45 to 54 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",64,51,"Sterling, VA","16000US5175376","sterling-va",0.04202232435981615,"Female",1
10,"55 to 64 Years",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",55,48,"Sterling, VA","16000US5175376","sterling-va",0.03611293499671701,"Male",0
