Assessments,,,,,,,,,,,,
7/14/2022,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass,Percent Proficiency,Advance,Fail,Record Count
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,ENGR,English Reading,70,53,17,30,264
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,ENGR,English Reading,78,55,24,22,51
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,ENGR,English Reading,85,65,20,15,20
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,ENGR,English Reading,68,47,21,32,133
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,ENGR,English Reading,59,50,9,41,139
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,ENGR,English Reading,60,49,11,40,35
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,ENGR,English Reading,73,59,14,27,131
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,ENGR,English Reading,46,38,8,54,24
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,ENGR,English Reading,86,50,36,14,44
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,MATH,Mathematics,77,64,14,23,266
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,MATH,Mathematics,88,67,21,12,52
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,MATH,Mathematics,70,60,10,30,20
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,MATH,Mathematics,75,66,8,25,134
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,MATH,Mathematics,69,64,5,31,139
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,MATH,Mathematics,64,56,8,36,36
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,MATH,Mathematics,80,61,19,20,132
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,MATH,Mathematics,46,38,8,54,24
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,MATH,Mathematics,93,60,33,7,45
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,SCI,Science,70,52,19,30,97
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,SCI,Science,92,62,31,8,13
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,SCI,Science,70,70,-,30,10
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,SCI,Science,64,41,23,36,56
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,SCI,Science,58,51,7,42,55
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,SCI,Science,59,53,6,41,17
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,SCI,Science,78,66,12,22,41
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,SCI,Science,93,27,67,7,15
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,ENGR,English Reading,57,50,7,43,269
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,ENGR,English Reading,70,50,20,30,20
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,ENGR,English Reading,80,70,10,20,10
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,ENGR,English Reading,59,51,8,41,138
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,ENGR,English Reading,53,48,5,47,220
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,ENGR,English Reading,37,37,-,63,46
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,ENGR,English Reading,54,48,6,46,131
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,ENGR,English Reading,36,32,4,64,28
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,,ENGR,English Reading,77,54,23,23,13
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,MATH,Mathematics,75,67,8,25,271
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,MATH,Mathematics,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,MATH,Mathematics,90,65,25,10,20
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,MATH,Mathematics,80,80,-,20,10
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,MATH,Mathematics,71,64,7,29,138
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,MATH,Mathematics,73,67,7,27,222
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,MATH,Mathematics,53,49,4,47,47
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,MATH,Mathematics,80,70,10,20,133
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,MATH,Mathematics,50,50,-,50,28
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,,MATH,Mathematics,77,54,23,23,13
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,SCI,Science,79,56,22,21,85
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,SCI,Science,100,<,<,0,0
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,SCI,Science,73,53,20,27,45
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,SCI,Science,75,56,19,25,64
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,SCI,Science,60,50,10,40,10
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,SCI,Science,85,60,25,15,40
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,ENGR,English Reading,65,56,9,35,280
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,,ENGR,English Reading,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,ENGR,English Reading,93,64,29,7,42
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,ENGR,English Reading,50,50,-,50,26
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,ENGR,English Reading,69,58,10,31,137
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,ENGR,English Reading,57,53,4,43,159
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,ENGR,English Reading,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,ENGR,English Reading,61,53,8,39,143
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,ENGR,English Reading,44,22,22,56,32
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,ENGR,English Reading,74,64,10,26,39
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,MATH,Mathematics,83,67,16,17,280
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,MATH,Mathematics,95,57,38,5,42
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,MATH,Mathematics,73,65,8,27,26
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,MATH,Mathematics,83,69,14,17,137
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,MATH,Mathematics,81,71,9,19,159
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,MATH,Mathematics,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,MATH,Mathematics,83,65,17,17,143
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,MATH,Mathematics,59,28,31,41,32
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,MATH,Mathematics,85,67,18,15,39
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,5,SCI,Grade 5 Science,73,55,18,27,11
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,SCI,Science,67,53,14,33,94
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,SCI,Science,87,47,40,13,15
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,SCI,Science,64,64,-,36,11
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,SCI,Science,65,52,13,35,48
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,SCI,Science,60,52,8,40,52
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,SCI,Science,70,54,15,30,46
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,SCI,Science,50,20,30,50,10
2018 - 2019,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,SCI,Science,73,55,18,27,11
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,ENGR,English Reading,60,50,10,40,234
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,ENGR,English Reading,83,69,14,17,36
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,ENGR,English Reading,76,71,6,24,17
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,English Learners,,ENGR,English Reading,29,29,-,71,107
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,ENGR,English Reading,58,45,13,42,131
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,ENGR,English Reading,45,39,6,55,130
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,ENGR,English Reading,33,33,-,67,33
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,ENGR,English Reading,63,56,7,37,103
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,ENGR,English Reading,31,28,3,69,32
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,,ENGR,English Reading,86,62,24,14,37
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,MATH,Mathematics,74,65,9,26,234
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,MATH,Mathematics,83,69,14,17,36
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,MATH,Mathematics,82,65,18,18,17
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,MATH,Mathematics,69,60,9,31,131
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,MATH,Mathematics,68,62,6,32,130
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,MATH,Mathematics,58,55,3,42,33
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,MATH,Mathematics,80,71,9,20,103
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,MATH,Mathematics,34,34,-,66,32
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,,MATH,Mathematics,86,76,11,14,37
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,SCI,Science,81,55,26,19,77
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,SCI,Science,94,75,19,6,16
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,SCI,Science,81,54,27,19,48
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,SCI,Science,63,38,25,38,32
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,SCI,Science,79,55,24,21,29
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sterling Elementary,SCH,White,,SCI,Science,94,63,31,6,16
