"Breakfast Participation of Eligible Students"
7/14/2022

Year,Division,School,Level,Percent
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,23.1
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,77.3
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,26.9
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,43.2
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,68.1
"2018 - 2019","Loudoun County Public Schools","Sully Elementary",SCH,57.4
"2019 - 2020","Loudoun County Public Schools","Forest Grove Elementary",SCH,65.7
"2019 - 2020","Loudoun County Public Schools","Guilford Elementary",SCH,78.6
"2019 - 2020","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,27.5
"2019 - 2020","Loudoun County Public Schools","Sterling Elementary",SCH,42.8
"2019 - 2020","Loudoun County Public Schools","Sugarland Elementary",SCH,66.2
"2019 - 2020","Loudoun County Public Schools","Sully Elementary",SCH,79.4
"2020 - 2021","Loudoun County Public Schools","Forest Grove Elementary",SCH,65.7
"2020 - 2021","Loudoun County Public Schools","Guilford Elementary",SCH,78.6
"2020 - 2021","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,27.5
"2020 - 2021","Loudoun County Public Schools","Sterling Elementary",SCH,42.8
"2020 - 2021","Loudoun County Public Schools","Sugarland Elementary",SCH,66.2
"2020 - 2021","Loudoun County Public Schools","Sully Elementary",SCH,79.4
