Chronic Absenteeism,,,,,,,,
7/14/2022,,,,,,,,
,,,,,,,,
Year,Level,Division,School,Subgroup,Count Below 10,Count Above 10,Percent Below 10,Percent above 10
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,All Students,514,44,92.1,7.9
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Asian,99,7,93.4,6.6
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Black,37,0,100,0
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Female,259,25,91.2,8.8
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Hispanic,268,28,90.5,9.5
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Homeless,91,13,,
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Male,255,19,93.1,6.9
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,Students with Disabilities,35,11,76.1,23.9
2018 - 2019,SCH,Loudoun County Public Schools,Forest Grove Elementary,White,94,8,92.2,7.8
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,All Students,515,37,93.3,6.7
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Asian,39,3,92.9,7.1
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Black,24,1,96,4
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Female,250,23,91.6,8.4
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Hispanic,407,30,93.1,6.9
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Homeless,88,14,,
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Male,265,14,95,5
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,Students with Disabilities,53,4,93,7
2018 - 2019,SCH,Loudoun County Public Schools,Guilford Elementary,White,34,3,91.9,8.1
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,All Students,527,59,89.9,10.1
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Asian,76,11,87.4,12.6
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Black,47,0,100,0
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Female,249,31,88.9,11.1
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Hispanic,300,33,90.1,9.9
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Homeless,24,7,,
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,Male,278,28,90.8,9.2
2018 - 2019,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,White,78,11,87.6,12.4
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,All Students,408,25,94.2,5.8
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Asian,50,3,94.3,5.7
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Black,24,2,92.3,7.7
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Female,222,14,94.1,5.9
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Hispanic,244,17,93.5,6.5
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Homeless,55,10,,
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Male,186,11,94.4,5.6
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,Students with Disabilities,47,3,94,6
2018 - 2019,SCH,Loudoun County Public Schools,Sterling Elementary,White,68,2,97.1,2.9
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,All Students,497,62,88.9,11.1
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Asian,48,7,87.3,12.7
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Black,28,4,87.5,12.5
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,English Learners,373,51,88,12
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Female,247,38,86.7,13.3
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Hispanic,362,45,88.9,11.1
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Homeless,75,13,,
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,Male,250,24,91.2,8.8
2018 - 2019,SCH,Loudoun County Public Schools,Sugarland Elementary,White,43,6,87.8,12.2
