Assessments
6/15/2022

Year,Division,School,Level,Subgroup,"Test Level","Subject Area",Subject,"Percent Pass","Percent Proficiency",Advance,Fail,"Record Count"
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",,ENGR,"English Reading",70,53,17,30,264
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,,ENGR,"English Reading",78,55,24,22,51
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,,ENGR,"English Reading",85,65,20,15,20
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",,ENGR,"English Reading",63,52,10,38,168
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",,ENGR,"English Reading",45,42,3,55,118
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,,ENGR,"English Reading",68,47,21,32,133
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,,ENGR,"English Reading",59,50,9,41,139
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,,ENGR,"English Reading",60,49,11,40,35
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,,ENGR,"English Reading",73,59,14,27,131
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",,ENGR,"English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",,ENGR,"English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",,ENGR,"English Reading",84,54,30,16,96
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",,ENGR,"English Reading",46,38,8,54,24
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",,ENGR,"English Reading",73,55,18,27,240
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,,ENGR,"English Reading",86,50,36,14,44
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",3,ENGR,"Grade 3 English Reading",67,52,15,33,88
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,3,ENGR,"Grade 3 English Reading",76,56,20,24,25
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",61,53,8,39,59
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",3,ENGR,"Grade 3 English Reading",42,38,4,58,45
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,3,ENGR,"Grade 3 English Reading",68,51,16,32,37
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,3,ENGR,"Grade 3 English Reading",51,39,12,49,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,3,ENGR,"Grade 3 English Reading",67,53,14,33,51
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",79,52,28,21,29
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",3,ENGR,"Grade 3 English Reading",70,54,16,30,82
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,3,ENGR,"Grade 3 English Reading",88,82,6,12,17
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",4,ENGR,"Grade 4 English Reading",72,53,19,28,79
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,4,ENGR,"Grade 4 English Reading",77,54,23,23,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",67,54,13,33,48
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",4,ENGR,"Grade 4 English Reading",51,49,3,49,37
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,4,ENGR,"Grade 4 English Reading",73,53,20,28,40
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,4,ENGR,"Grade 4 English Reading",65,53,12,35,43
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,4,ENGR,"Grade 4 English Reading",64,45,18,36,11
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,4,ENGR,"Grade 4 English Reading",72,54,18,28,39
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",4,ENGR,"Grade 4 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",81,52,29,19,31
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",4,ENGR,"Grade 4 English Reading",46,38,8,54,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",4,ENGR,"Grade 4 English Reading",77,56,21,23,66
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,4,ENGR,"Grade 4 English Reading",83,33,50,17,12
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",5,ENGR,"Grade 5 English Reading",72,54,19,28,97
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,5,ENGR,"Grade 5 English Reading",85,54,31,15,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,5,ENGR,"Grade 5 English Reading",100,80,20,0,10
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",61,51,10,39,61
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",5,ENGR,"Grade 5 English Reading",42,39,3,58,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,5,ENGR,"Grade 5 English Reading",66,41,25,34,56
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,5,ENGR,"Grade 5 English Reading",60,55,5,40,55
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,5,ENGR,"Grade 5 English Reading",65,59,6,35,17
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,5,ENGR,"Grade 5 English Reading",80,71,10,20,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",92,58,33,8,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",5,ENGR,"Grade 5 English Reading",73,54,18,27,92
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,5,ENGR,"Grade 5 English Reading",87,27,60,13,15
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",3,MATH,"Grade 3 Mathematics",87,64,22,13,89
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,3,MATH,"Grade 3 Mathematics",88,64,24,12,25
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",83,70,13,17,60
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",3,MATH,"Grade 3 Mathematics",74,72,2,26,46
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,3,MATH,"Grade 3 Mathematics",86,76,11,14,37
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,3,MATH,"Grade 3 Mathematics",78,71,7,22,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,3,MATH,"Grade 3 Mathematics",87,56,31,13,52
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",93,52,41,7,29
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",3,MATH,"Grade 3 Mathematics",89,65,24,11,83
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,3,MATH,"Grade 3 Mathematics",100,56,44,0,18
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",4,MATH,"Grade 4 Mathematics",83,70,13,18,80
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,4,MATH,"Grade 4 Mathematics",86,57,29,14,14
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,4,MATH,"Grade 4 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",75,67,8,25,48
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",4,MATH,"Grade 4 Mathematics",71,71,-,29,38
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,4,MATH,"Grade 4 Mathematics",78,68,10,22,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,4,MATH,"Grade 4 Mathematics",74,67,7,26,43
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,4,MATH,"Grade 4 Mathematics",64,64,-,36,11
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,4,MATH,"Grade 4 Mathematics",87,72,15,13,39
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",4,MATH,"Grade 4 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",94,75,19,6,32
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",4,MATH,"Grade 4 Mathematics",54,46,8,46,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",4,MATH,"Grade 4 Mathematics",88,75,13,12,67
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,4,MATH,"Grade 4 Mathematics",100,75,25,0,12
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",5,MATH,"Grade 5 Mathematics",65,59,6,35,97
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,5,MATH,"Grade 5 Mathematics",92,85,8,8,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,5,MATH,"Grade 5 Mathematics",40,40,-,60,10
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",56,52,3,44,61
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",5,MATH,"Grade 5 Mathematics",47,44,3,53,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,5,MATH,"Grade 5 Mathematics",64,59,5,36,56
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,5,MATH,"Grade 5 Mathematics",58,56,2,42,55
