Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,ENGR,English Reading,70
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,ENGR,English Reading,78
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,ENGR,English Reading,85
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,63
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,,ENGR,English Reading,45
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,ENGR,English Reading,68
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,ENGR,English Reading,59
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,ENGR,English Reading,60
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,ENGR,English Reading,73
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,,ENGR,English Reading,100
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,,ENGR,English Reading,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,84
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,ENGR,English Reading,46
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,,ENGR,English Reading,73
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,ENGR,English Reading,86
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,67
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,76
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,61
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,42
2018 - 2019,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,68
