School Year,Division Number,Division Name,School Number,School,Subgroup,Subject,Percent Pass
2018-2019,53,Loudoun County,970,Forest Grove,Asian,English Reading,78.43
2018-2019,53,Loudoun County,970,Forest Grove,Asian,Mathematics,88.46
2018-2019,53,Loudoun County,970,Forest Grove,Black,English Reading,85
2018-2019,53,Loudoun County,970,Forest Grove,Black,Mathematics,70
2018-2019,53,Loudoun County,970,Forest Grove,Hispanic,English Reading,58.99
2018-2019,53,Loudoun County,970,Forest Grove,Hispanic,Mathematics,69.06
2018-2019,53,Loudoun County,970,Forest Grove,White,English Reading,86.36
2018-2019,53,Loudoun County,970,Forest Grove,White,Mathematics,93.33
2018-2019,53,Loudoun County,720,Guilford,Asian,English Reading,70
2018-2019,53,Loudoun County,720,Guilford,Asian,Mathematics,90
2018-2019,53,Loudoun County,720,Guilford,Black,English Reading,80
2018-2019,53,Loudoun County,720,Guilford,Black,Mathematics,80
2018-2019,53,Loudoun County,720,Guilford,Hispanic,English Reading,52.73
2018-2019,53,Loudoun County,720,Guilford,Hispanic,Mathematics,73.42
2018-2019,53,Loudoun County,720,Guilford,White,English Reading,76.92
2018-2019,53,Loudoun County,720,Guilford,White,Mathematics,76.92
2018-2019,53,Loudoun County,40,Rolling Ridge,Asian,English Reading,92.86
2018-2019,53,Loudoun County,40,Rolling Ridge,Asian,Mathematics,95.24
2018-2019,53,Loudoun County,40,Rolling Ridge,Black,English Reading,50
2018-2019,53,Loudoun County,40,Rolling Ridge,Black,Mathematics,73.08
2018-2019,53,Loudoun County,40,Rolling Ridge,Hispanic,English Reading,56.6
2018-2019,53,Loudoun County,40,Rolling Ridge,Hispanic,Mathematics,80.5
2018-2019,53,Loudoun County,40,Rolling Ridge,White,English Reading,74.36
2018-2019,53,Loudoun County,40,Rolling Ridge,White,Mathematics,84.62
2018-2019,53,Loudoun County,690,Sterling,Asian,English Reading,83.33
2018-2019,53,Loudoun County,690,Sterling,Asian,Mathematics,83.33
2018-2019,53,Loudoun County,690,Sterling,Black,English Reading,76.47
2018-2019,53,Loudoun County,690,Sterling,Black,Mathematics,82.35
2018-2019,53,Loudoun County,690,Sterling,Hispanic,English Reading,45.38
2018-2019,53,Loudoun County,690,Sterling,Hispanic,Mathematics,68.46
2018-2019,53,Loudoun County,690,Sterling,White,English Reading,86.49
2018-2019,53,Loudoun County,690,Sterling,White,Mathematics,86.49
2018-2019,53,Loudoun County,10,Sugarland,Asian,English Reading,64
2018-2019,53,Loudoun County,10,Sugarland,Asian,Mathematics,69.23
2018-2019,53,Loudoun County,10,Sugarland,Black,English Reading,52.38
2018-2019,53,Loudoun County,10,Sugarland,Black,Mathematics,71.43
2018-2019,53,Loudoun County,10,Sugarland,Hispanic,English Reading,50.96
2018-2019,53,Loudoun County,10,Sugarland,Hispanic,Mathematics,71.15
2018-2019,53,Loudoun County,10,Sugarland,White,English Reading,96.67
2018-2019,53,Loudoun County,10,Sugarland,White,Mathematics,93.33
2018-2019,53,Loudoun County,750,Sully,Asian,English Reading,73.33
2018-2019,53,Loudoun County,750,Sully,Asian,Mathematics,80
2018-2019,53,Loudoun County,750,Sully,Black,English Reading,<50
2018-2019,53,Loudoun County,750,Sully,Black,Mathematics,>50
2018-2019,53,Loudoun County,750,Sully,Hispanic,English Reading,40.7
2018-2019,53,Loudoun County,750,Sully,Hispanic,Mathematics,61.99
2018-2019,53,Loudoun County,750,Sully,White,English Reading,75
2018-2019,53,Loudoun County,750,Sully,White,Mathematics,80
2020-2021,53,Loudoun County,970,Forest Grove,Asian,English Reading,58.93
2020-2021,53,Loudoun County,970,Forest Grove,Asian,Mathematics,53.45
2020-2021,53,Loudoun County,970,Forest Grove,Black,English Reading,56.25
2020-2021,53,Loudoun County,970,Forest Grove,Black,Mathematics,<50
2020-2021,53,Loudoun County,970,Forest Grove,Hispanic,English Reading,40.8
2020-2021,53,Loudoun County,970,Forest Grove,Hispanic,Mathematics,19.53
2020-2021,53,Loudoun County,970,Forest Grove,White,English Reading,71.43
2020-2021,53,Loudoun County,970,Forest Grove,White,Mathematics,57.14
2020-2021,53,Loudoun County,720,Guilford,Asian,English Reading,50
2020-2021,53,Loudoun County,720,Guilford,Asian,Mathematics,<50
2020-2021,53,Loudoun County,720,Guilford,Black,English Reading,80
2020-2021,53,Loudoun County,720,Guilford,Black,Mathematics,60
2020-2021,53,Loudoun County,720,Guilford,Hispanic,English Reading,32.45
2020-2021,53,Loudoun County,720,Guilford,Hispanic,Mathematics,23.53
2020-2021,53,Loudoun County,720,Guilford,White,English Reading,63.64
2020-2021,53,Loudoun County,720,Guilford,White,Mathematics,63.64
2020-2021,53,Loudoun County,40,Rolling Ridge,Asian,English Reading,77.42
2020-2021,53,Loudoun County,40,Rolling Ridge,Asian,Mathematics,78.13
2020-2021,53,Loudoun County,40,Rolling Ridge,Black,English Reading,71.43
2020-2021,53,Loudoun County,40,Rolling Ridge,Black,Mathematics,47.62
2020-2021,53,Loudoun County,40,Rolling Ridge,Hispanic,English Reading,42.11
2020-2021,53,Loudoun County,40,Rolling Ridge,Hispanic,Mathematics,35.29
2020-2021,53,Loudoun County,40,Rolling Ridge,White,English Reading,65.63
2020-2021,53,Loudoun County,40,Rolling Ridge,White,Mathematics,62.5
2020-2021,53,Loudoun County,690,Sterling,Asian,English Reading,84.62
2020-2021,53,Loudoun County,690,Sterling,Asian,Mathematics,68.75
2020-2021,53,Loudoun County,690,Sterling,Black,English Reading,>50
2020-2021,53,Loudoun County,690,Sterling,Black,Mathematics,<50
2020-2021,53,Loudoun County,690,Sterling,Hispanic,English Reading,36.96
2020-2021,53,Loudoun County,690,Sterling,Hispanic,Mathematics,22.14
2020-2021,53,Loudoun County,690,Sterling,White,English Reading,56
2020-2021,53,Loudoun County,690,Sterling,White,Mathematics,45.83
2020-2021,53,Loudoun County,10,Sugarland,Asian,English Reading,72.22
2020-2021,53,Loudoun County,10,Sugarland,Asian,Mathematics,77.78
2020-2021,53,Loudoun County,10,Sugarland,Black,English Reading,<50
2020-2021,53,Loudoun County,10,Sugarland,Black,Mathematics,<50
2020-2021,53,Loudoun County,10,Sugarland,Hispanic,English Reading,36.91
2020-2021,53,Loudoun County,10,Sugarland,Hispanic,Mathematics,34.9
2020-2021,53,Loudoun County,10,Sugarland,White,English Reading,70
